kepid,kepoi_name,koi_disposition,koi_period,koi_time0bk
1161345,"K00984.01","CONFIRMED",4.28746668,262.06245
10227501,"K00985.01","FALSE POSITIVE",2.002779769,261.95791
2854698,"K00986.01","CONFIRMED",8.18739443,260.86931
2854698,"K00986.02","CONFIRMED",76.0498163,161.71445
8559644,"K00139.02","CONFIRMED",3.341799486,141.35472
6032981,"K01054.01","FALSE POSITIVE",3.3226948,134.444
5866099,"K01055.01","FALSE POSITIVE",36.97708808,133.62681
5964985,"K01056.01","FALSE POSITIVE",1.851409163,133.17995
6066416,"K01057.01","FALSE POSITIVE",1.303859704,134.21201
1996679,"K00147.01","FALSE POSITIVE",145.5624926,146.0588
2849805,"K01116.01","CONFIRMED",3.749105745,135.10837
3114811,"K01117.01","CONFIRMED",11.08956602,141.76142
2853446,"K01118.01","CANDIDATE",7.37290344,137.60991
3003992,"K01119.01","FALSE POSITIVE",7.24476126,139.10497
3942446,"K01193.01","CANDIDATE",119.0624882,149.22223
3554031,"K01194.01","CONFIRMED",8.70798309,363.05638
3554031,"K01194.02","CANDIDATE",14.8623076,354.57297
3554031,"K01194.03","CONFIRMED",4.17634276,352.99674
8394721,"K00152.02","CONFIRMED",27.40229859,133.6284
7295235,"K00987.01","CONFIRMED",3.179267286,261.841607
2302548,"K00988.01","CONFIRMED",10.38122447,268.02421
2302548,"K00988.02","CONFIRMED",24.5709023,135.87209
10743597,"K00989.01","FALSE POSITIVE",81.221876,184.26164
10743597,"K00989.02","FALSE POSITIVE",0.817026268,132.835239
9818381,"K00135.01","CONFIRMED",3.024092505,132.4168573
6124941,"K01058.01","FALSE POSITIVE",5.670155713,136.201739
6060203,"K01059.01","CONFIRMED",1.022678654,133.45422
5880320,"K01060.01","CONFIRMED",12.10968709,140.21258
5880320,"K01060.02","CONFIRMED",4.75796103,137.69636
5880320,"K01060.03","CONFIRMED",20.4972755,147.43894
3003992,"K01119.02","FALSE POSITIVE",13.55480534,139.81609
6307537,"K01120.01","FALSE POSITIVE",29.74454668,172.386652
6359798,"K01121.01","FALSE POSITIVE",14.15402428,140.698466
