,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Global_Importance
flux__spkt_welch_density__coeff_5,-0.061359406,0.10153506,-0.032454632,0.055648517,0.015652334,0.07721281,-0.03155305,0.06292657,-0.023962272,-0.011104784,0.04734094
"flux__fft_coefficient__attr_""real""__coeff_5",-0.06748831,0.13024564,-0.012184309,-0.017754616,0.013105719,0.1059161,0.091022365,-0.010100586,-0.019537754,0.005802928,0.047315832
"flux__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""",-0.013509797,0.0007473869,-0.00020632257,-0.0043666405,0.16005449,-0.12818794,0.061856262,0.04370407,-0.01886957,-0.04044763,0.04719501
"flux__fft_coefficient__attr_""abs""__coeff_46",-0.0899115,-0.061139893,0.016071536,0.013656579,0.014283061,-0.013370011,0.02972441,-0.08574918,-0.08188297,0.065834634,0.047162376
"flux__fft_coefficient__attr_""abs""__coeff_2",-0.06591029,0.15522288,-0.009130886,-0.024504632,0.031360302,0.054811217,0.0024213577,-0.07065287,0.025420133,0.03153918,0.04709737
"flux__fft_coefficient__attr_""abs""__coeff_42",-0.09374206,-0.06509115,0.0075285854,0.036904886,0.011647542,-0.018285677,0.032275878,-0.07135214,-0.07203962,0.061633106,0.047050066
"flux__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",-0.07079212,0.00440236,0.053504467,-0.090368055,0.02299274,0.0050885505,-0.06412122,0.029993994,-0.082219936,0.04692982,0.047041327
"flux__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",-0.0045686346,0.0029564141,-0.00095542526,-0.0016024036,0.109253064,-0.09258561,0.095381044,0.113362245,0.010919982,-0.03793611,0.046952095
"flux__fft_coefficient__attr_""imag""__coeff_16",0.014070055,0.0035703562,0.023996307,-0.050250776,0.11236026,-0.10122914,-0.0047843787,-0.085957386,-0.0639279,0.008972118,0.046911865
"flux__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",-0.07057325,0.1265485,-0.011267473,-0.0046608145,0.0741301,0.062449574,-0.026878353,-0.041739963,-0.012856706,0.03713663,0.046824135
"flux__fft_coefficient__attr_""abs""__coeff_62",-0.07903062,-0.046968035,0.03548966,-0.046658907,-0.013117529,-0.007232245,0.008680813,-0.027332366,0.2027395,0.00061230175,0.046786197
"flux__fft_coefficient__attr_""abs""__coeff_13",-0.090398155,0.015133578,-0.03975015,0.10523994,-0.03890749,0.022859933,0.016253022,0.10013699,-0.028691072,-0.008251378,0.046562172
flux__lempel_ziv_complexity__bins_10,0.051081453,0.022756746,0.19745722,0.0679993,0.0028250949,-0.024846189,-0.01228143,-0.013659694,-0.005962366,0.0664039,0.046527337
flux__energy_ratio_by_chunks__num_segments_10__segment_focus_8,-0.055791736,0.13963869,-0.005698761,-0.03648439,0.093345426,0.007428942,0.06878372,-0.0049319817,0.030742057,0.02209796,0.046494365
"flux__fft_coefficient__attr_""imag""__coeff_10",0.0141072115,-0.03336281,0.021632465,-0.03369409,0.1028698,-0.09604808,0.048561867,-0.06859697,-0.04472004,0.00096116186,0.046455447
"flux__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",0.0003937621,0.047103386,0.06131276,0.0053385175,-0.10623739,-0.12862031,0.03590408,-0.051188063,-0.007313433,-0.02019286,0.046360455
"flux__fft_coefficient__attr_""abs""__coeff_48",-0.08829048,-0.05980004,0.02100186,0.003955726,0.009794552,-0.01323808,0.027679296,-0.083243854,-0.0766123,0.07985904,0.04634752
"flux__fft_coefficient__attr_""abs""__coeff_63",-0.082791634,-0.049605172,0.036704738,-0.04729937,-0.0072989743,-0.01140094,0.0075385734,-0.032725897,0.181662,-0.0060420823,0.046306938
"flux__fft_coefficient__attr_""abs""__coeff_8",-0.081698775,0.11760639,-0.03646407,0.057327475,0.019321445,0.03500921,-0.069258004,0.019280173,0.008776808,-0.017210592,0.04619529
"flux__fft_coefficient__attr_""abs""__coeff_41",-0.09497731,-0.0671677,0.010705389,0.02712131,0.011906349,-0.018386638,0.033043765,-0.0793994,-0.06113487,0.05666958,0.046051234
flux__ratio_beyond_r_sigma__r_6,-0.039642736,-0.06486298,-0.1339928,-0.0030694478,0.01983541,0.051895823,0.011986787,0.05575455,0.0120053645,-0.06746044,0.046050634
flux__lempel_ziv_complexity__bins_3,0.045097455,0.011137229,0.16694936,0.056377906,0.012420652,-0.022656104,-0.02004396,-0.010794159,-0.015104818,0.09952985,0.046011157
